State,Year,Quarter,HPI
ND,1977,1,81.56
ND,1977,2,85.67
ND,1977,3,79.67
ND,1977,4,77.44
ND,1978,1,87.77
ND,1978,2,82.44
ND,1978,3,89.71
ND,1978,4,86.43
ND,1979,1,98.37
ND,1979,2,99.60
ND,1979,3,97.55
ND,1979,4,100.19
ND,1980,1,100.00
ND,1980,2,107.96
ND,1980,3,99.84
ND,1980,4,93.81
ND,1981,1,103.51
ND,1981,2,101.20
ND,1981,3,118.30
ND,1981,4,111.05
ND,1982,1,102.67
ND,1982,2,83.98
ND,1982,3,72.28
ND,1982,4,88.22
ND,1983,1,99.25
ND,1983,2,106.57
ND,1983,3,87.33
ND,1983,4,109.35
ND,1984,1,118.23
ND,1984,2,113.68
ND,1984,3,114.95
ND,1984,4,108.89
ND,1985,1,109.64
ND,1985,2,110.01
ND,1985,3,113.11
ND,1985,4,108.85
ND,1986,1,113.19
ND,1986,2,112.33
ND,1986,3,111.61
ND,1986,4,109.18
ND,1987,1,113.19
ND,1987,2,110.59
ND,1987,3,110.75
ND,1987,4,110.25
ND,1988,1,107.59
ND,1988,2,108.87
ND,1988,3,109.68
ND,1988,4,104.96
ND,1989,1,108.85
ND,1989,2,108.50
ND,1989,3,110.38
ND,1989,4,111.30
ND,1990,1,110.92
ND,1990,2,110.77
ND,1990,3,112.29
ND,1990,4,111.06
ND,1991,1,113.06
ND,1991,2,114.31
ND,1991,3,114.45
ND,1991,4,115.52
ND,1992,1,117.93
ND,1992,2,118.07
ND,1992,3,119.51
ND,1992,4,120.59
ND,1993,1,121.39
ND,1993,2,124.15
ND,1993,3,126.45
ND,1993,4,127.08
ND,1994,1,128.80
ND,1994,2,132.57
ND,1994,3,134.16
ND,1994,4,134.52
ND,1995,1,136.89
ND,1995,2,138.35
ND,1995,3,139.98
ND,1995,4,140.62
ND,1996,1,144.20
ND,1996,2,142.84
ND,1996,3,145.21
ND,1996,4,145.21
ND,1997,1,145.44
ND,1997,2,146.29
ND,1997,3,148.72
ND,1997,4,150.92
ND,1998,1,153.32
ND,1998,2,154.60
ND,1998,3,156.66
ND,1998,4,157.24
ND,1999,1,157.53
ND,1999,2,158.02
ND,1999,3,158.66
ND,1999,4,157.00
ND,2000,1,159.10
ND,2000,2,160.03
ND,2000,3,161.55
ND,2000,4,163.18
ND,2001,1,167.12
ND,2001,2,168.32
ND,2001,3,169.73
ND,2001,4,171.01
ND,2002,1,172.94
ND,2002,2,174.54
ND,2002,3,178.42
ND,2002,4,180.36
ND,2003,1,181.64
ND,2003,2,184.27
ND,2003,3,186.83
ND,2003,4,190.51
ND,2004,1,192.49
ND,2004,2,195.87
ND,2004,3,201.31
ND,2004,4,205.80
ND,2005,1,207.08
ND,2005,2,213.57
ND,2005,3,218.43
ND,2005,4,221.10
ND,2006,1,222.17
ND,2006,2,228.49
ND,2006,3,231.37
ND,2006,4,231.64
ND,2007,1,236.69
ND,2007,2,239.39
ND,2007,3,241.20
ND,2007,4,241.89
ND,2008,1,246.14
ND,2008,2,246.84
ND,2008,3,246.84
ND,2008,4,249.04
ND,2009,1,250.61
ND,2009,2,250.41
ND,2009,3,249.89
ND,2009,4,252.35
ND,2010,1,252.10
ND,2010,2,251.90
ND,2010,3,254.07
ND,2010,4,256.89
ND,2011,1,258.36
ND,2011,2,262.51
ND,2011,3,264.71
ND,2011,4,266.93
ND,2012,1,269.23
ND,2012,2,276.83
ND,2012,3,281.14
ND,2012,4,288.76
ND,2013,1,293.90
ND,2013,2,300.40
ND,2013,3,311.01
ND,2013,4,315.92
ND,2014,1,319.07
ND,2014,2,323.58
ND,2014,3,331.32
ND,2014,4,336.66
ND,2015,1,339.63
ND,2015,2,343.63
ND,2015,3,350.74
ND,2015,4,353.04
ND,2016,1,351.49
ND,2016,2,355.16
ND,2016,3,359.89
ND,2016,4,359.54
ND,2017,1,362.50
ND,2017,2,363.90
ND,2017,3,366.97
ND,2017,4,365.25
NE,1975,1,63.66
NE,1975,2,63.96
NE,1975,3,61.37
NE,1975,4,67.78
NE,1976,1,67.15
NE,1976,2,67.65
NE,1976,3,67.57
NE,1976,4,70.48
NE,1977,1,72.00
NE,1977,2,76.09
NE,1977,3,78.55
NE,1977,4,79.97
NE,1978,1,78.95
NE,1978,2,85.81
NE,1978,3,86.95
NE,1978,4,86.79
NE,1979,1,92.69
NE,1979,2,93.71
NE,1979,3,97.93
NE,1979,4,97.62
NE,1980,1,100.00
NE,1980,2,103.22
NE,1980,3,101.71
NE,1980,4,105.85
NE,1981,1,103.17
NE,1981,2,102.98
NE,1981,3,100.86
NE,1981,4,100.39
NE,1982,1,106.55
NE,1982,2,107.12
NE,1982,3,109.13
NE,1982,4,108.89
NE,1983,1,109.17
NE,1983,2,109.26
NE,1983,3,111.33
NE,1983,4,111.97
NE,1984,1,110.34
NE,1984,2,112.83
NE,1984,3,112.19
NE,1984,4,111.81
NE,1985,1,111.40
NE,1985,2,112.98
NE,1985,3,113.02
NE,1985,4,114.17
NE,1986,1,115.39
NE,1986,2,115.61
NE,1986,3,115.80
NE,1986,4,116.97
NE,1987,1,117.51
NE,1987,2,116.87
NE,1987,3,115.35
NE,1987,4,116.11
NE,1988,1,117.12
NE,1988,2,117.81
NE,1988,3,118.42
NE,1988,4,118.30
NE,1989,1,119.33
NE,1989,2,120.39
NE,1989,3,121.77
NE,1989,4,122.70
NE,1990,1,123.50
NE,1990,2,125.60
NE,1990,3,126.96
NE,1990,4,126.99
NE,1991,1,128.08
NE,1991,2,129.44
NE,1991,3,130.67
NE,1991,4,131.42
NE,1992,1,133.21
NE,1992,2,135.10
NE,1992,3,137.18
NE,1992,4,138.04
NE,1993,1,139.28
NE,1993,2,140.98
NE,1993,3,143.25
NE,1993,4,145.42
NE,1994,1,147.31
NE,1994,2,152.18
NE,1994,3,155.94
NE,1994,4,155.78
NE,1995,1,157.56
NE,1995,2,160.64
NE,1995,3,162.94
NE,1995,4,164.05
NE,1996,1,165.96
NE,1996,2,169.47
NE,1996,3,171.96
NE,1996,4,172.93
NE,1997,1,174.42
NE,1997,2,177.93
NE,1997,3,179.96
NE,1997,4,182.39
NE,1998,1,184.12
NE,1998,2,185.21
NE,1998,3,187.98
NE,1998,4,190.24
NE,1999,1,191.59
NE,1999,2,195.15
NE,1999,3,195.92
NE,1999,4,197.29
NE,2000,1,198.53
NE,2000,2,201.24
NE,2000,3,203.12
NE,2000,4,204.65
NE,2001,1,207.23
NE,2001,2,209.49
NE,2001,3,211.32
NE,2001,4,212.97
NE,2002,1,214.70
NE,2002,2,216.04
NE,2002,3,218.08
NE,2002,4,219.52
NE,2003,1,220.71
NE,2003,2,221.93
NE,2003,3,224.30
NE,2003,4,227.94
NE,2004,1,229.09
NE,2004,2,232.43
NE,2004,3,237.04
NE,2004,4,238.94
NE,2005,1,240.66
NE,2005,2,244.09
NE,2005,3,247.51
NE,2005,4,246.68
NE,2006,1,246.99
NE,2006,2,249.39
NE,2006,3,250.38
NE,2006,4,250.60
NE,2007,1,251.69
NE,2007,2,253.50
NE,2007,3,252.28
NE,2007,4,251.97
NE,2008,1,253.96
NE,2008,2,251.96
NE,2008,3,249.57
NE,2008,4,251.03
NE,2009,1,252.89
NE,2009,2,251.73
NE,2009,3,249.15
NE,2009,4,249.01
NE,2010,1,246.67
NE,2010,2,248.47
NE,2010,3,250.68
NE,2010,4,249.38
NE,2011,1,247.15
NE,2011,2,246.39
NE,2011,3,248.83
NE,2011,4,250.30
NE,2012,1,249.99
NE,2012,2,250.45
NE,2012,3,251.50
NE,2012,4,252.72
NE,2013,1,254.43
NE,2013,2,256.79
NE,2013,3,258.89
NE,2013,4,261.05
NE,2014,1,260.93
NE,2014,2,266.05
NE,2014,3,268.98
NE,2014,4,270.56
NE,2015,1,272.07
NE,2015,2,277.95
NE,2015,3,282.76
NE,2015,4,283.37
NE,2016,1,283.98
NE,2016,2,290.15
NE,2016,3,294.77
NE,2016,4,296.01
NE,2017,1,301.19
NE,2017,2,310.18
NE,2017,3,315.02
NE,2017,4,316.32
NH,1975,1,65.56
NH,1975,2,73.23
NH,1975,3,62.17
NH,1975,4,70.76
NH,1976,1,64.31
NH,1976,2,58.58
NH,1976,3,68.20
NH,1976,4,66.88
NH,1977,1,60.40
NH,1977,2,70.65
NH,1977,3,73.87
NH,1977,4,73.06
NH,1978,1,78.29
NH,1978,2,77.58
NH,1978,3,83.34
NH,1978,4,86.83
NH,1979,1,89.72
NH,1979,2,94.39
NH,1979,3,98.01
NH,1979,4,94.18
NH,1980,1,100.00
NH,1980,2,97.54
NH,1980,3,102.47
NH,1980,4,99.31
NH,1981,1,98.67
NH,1981,2,100.71
NH,1981,3,99.74
NH,1981,4,108.62
NH,1982,1,106.37
NH,1982,2,100.23
NH,1982,3,109.21
NH,1982,4,106.38
NH,1983,1,108.68
NH,1983,2,112.48
NH,1983,3,116.16
NH,1983,4,117.78
NH,1984,1,122.47
NH,1984,2,127.78
NH,1984,3,133.31
NH,1984,4,137.47
NH,1985,1,141.90
NH,1985,2,152.19
NH,1985,3,159.89
NH,1985,4,169.83
NH,1986,1,178.15
NH,1986,2,186.47
NH,1986,3,195.34
NH,1986,4,206.24
NH,1987,1,211.52
NH,1987,2,220.55
NH,1987,3,222.75
NH,1987,4,226.85
NH,1988,1,226.36
NH,1988,2,229.31
NH,1988,3,229.14
NH,1988,4,228.62
NH,1989,1,229.31
NH,1989,2,225.96
NH,1989,3,229.75
NH,1989,4,230.09
NH,1990,1,225.36
NH,1990,2,215.89
NH,1990,3,211.30
NH,1990,4,203.88
NH,1991,1,201.36
NH,1991,2,198.13
NH,1991,3,193.86
NH,1991,4,194.43
NH,1992,1,194.40
NH,1992,2,190.05
NH,1992,3,189.27
NH,1992,4,189.30
NH,1993,1,187.72
NH,1993,2,189.77
NH,1993,3,190.13
NH,1993,4,190.63
NH,1994,1,191.15
NH,1994,2,187.79
NH,1994,3,185.10
NH,1994,4,184.61
NH,1995,1,185.15
NH,1995,2,187.66
NH,1995,3,191.51
NH,1995,4,194.05
NH,1996,1,194.92
NH,1996,2,194.45
NH,1996,3,196.71
NH,1996,4,197.80
NH,1997,1,199.37
NH,1997,2,202.05
NH,1997,3,204.53
NH,1997,4,207.70
NH,1998,1,210.60
NH,1998,2,214.63
NH,1998,3,218.60
NH,1998,4,222.32
NH,1999,1,225.56
NH,1999,2,232.15
NH,1999,3,239.34
NH,1999,4,243.98
NH,2000,1,253.66
NH,2000,2,262.15
NH,2000,3,271.85
NH,2000,4,279.48
NH,2001,1,285.73
NH,2001,2,295.55
NH,2001,3,305.83
NH,2001,4,311.30
NH,2002,1,319.81
NH,2002,2,331.05
NH,2002,3,341.30
NH,2002,4,348.99
NH,2003,1,354.40
NH,2003,2,359.84
NH,2003,3,369.24
NH,2003,4,383.68
NH,2004,1,389.28
NH,2004,2,399.77
NH,2004,3,417.41
NH,2004,4,425.61
NH,2005,1,436.65
NH,2005,2,447.11
NH,2005,3,457.66
NH,2005,4,462.79
NH,2006,1,466.56
NH,2006,2,463.71
NH,2006,3,461.94
NH,2006,4,464.82
NH,2007,1,463.13
NH,2007,2,460.10
NH,2007,3,452.71
NH,2007,4,452.25
NH,2008,1,452.53
NH,2008,2,440.79
NH,2008,3,425.49
NH,2008,4,424.07
NH,2009,1,425.34
NH,2009,2,413.24
NH,2009,3,399.68
NH,2009,4,397.40
NH,2010,1,393.73
NH,2010,2,390.98
NH,2010,3,395.40
NH,2010,4,393.21
NH,2011,1,383.96
NH,2011,2,377.42
NH,2011,3,379.85
NH,2011,4,381.48
NH,2012,1,376.04
NH,2012,2,373.25
NH,2012,3,375.02
NH,2012,4,376.46
NH,2013,1,375.47
NH,2013,2,376.25
NH,2013,3,380.75
NH,2013,4,381.05
NH,2014,1,384.86
NH,2014,2,387.37
NH,2014,3,394.01
NH,2014,4,395.65
NH,2015,1,398.43
NH,2015,2,405.20
NH,2015,3,410.56
NH,2015,4,411.20
NH,2016,1,414.63
NH,2016,2,420.76
NH,2016,3,428.09
NH,2016,4,431.00
NH,2017,1,433.06
NH,2017,2,445.16
NH,2017,3,453.25
NH,2017,4,456.34
NJ,1975,1,64.06
NJ,1975,2,59.92
NJ,1975,3,60.29
NJ,1975,4,62.71
NJ,1976,1,62.23
NJ,1976,2,63.90
NJ,1976,3,66.09
NJ,1976,4,62.16
NJ,1977,1,65.17
NJ,1977,2,65.72
NJ,1977,3,67.32
NJ,1977,4,69.36
NJ,1978,1,71.30
NJ,1978,2,73.17
NJ,1978,3,76.26
NJ,1978,4,79.43
NJ,1979,1,84.84
NJ,1979,2,87.11
NJ,1979,3,91.71
NJ,1979,4,94.39
NJ,1980,1,100.00
NJ,1980,2,101.51
NJ,1980,3,100.81
NJ,1980,4,103.90
NJ,1981,1,104.29
NJ,1981,2,105.77
NJ,1981,3,107.53
NJ,1981,4,107.64
NJ,1982,1,111.05
NJ,1982,2,112.16
NJ,1982,3,111.37
NJ,1982,4,109.34
NJ,1983,1,110.17
NJ,1983,2,113.87
NJ,1983,3,117.70
NJ,1983,4,120.88
NJ,1984,1,123.96
NJ,1984,2,130.17
NJ,1984,3,135.08
NJ,1984,4,138.34
NJ,1985,1,142.31
NJ,1985,2,148.64
NJ,1985,3,155.10
NJ,1985,4,161.92
NJ,1986,1,168.04
NJ,1986,2,178.16
NJ,1986,3,189.35
NJ,1986,4,199.23
NJ,1987,1,210.27
NJ,1987,2,221.35
NJ,1987,3,229.99
NJ,1987,4,235.23
NJ,1988,1,240.37
NJ,1988,2,246.56
NJ,1988,3,247.17
NJ,1988,4,246.48
NJ,1989,1,245.87
NJ,1989,2,245.45
NJ,1989,3,246.62
NJ,1989,4,247.48
NJ,1990,1,244.40
NJ,1990,2,239.17
NJ,1990,3,235.99
NJ,1990,4,231.99
NJ,1991,1,230.94
NJ,1991,2,229.23
NJ,1991,3,227.97
NJ,1991,4,230.61
NJ,1992,1,232.44
NJ,1992,2,230.53
NJ,1992,3,232.35
NJ,1992,4,233.72
NJ,1993,1,233.55
NJ,1993,2,235.27
NJ,1993,3,235.77
NJ,1993,4,237.30
NJ,1994,1,237.86
NJ,1994,2,235.86
NJ,1994,3,233.63
NJ,1994,4,230.84
NJ,1995,1,230.71
NJ,1995,2,233.18
NJ,1995,3,237.24
NJ,1995,4,237.81
NJ,1996,1,240.91
NJ,1996,2,238.94
NJ,1996,3,238.49
NJ,1996,4,238.34
NJ,1997,1,240.19
NJ,1997,2,241.08
NJ,1997,3,243.93
NJ,1997,4,246.35
NJ,1998,1,250.76
NJ,1998,2,251.69
NJ,1998,3,254.27
NJ,1998,4,256.17
NJ,1999,1,259.25
NJ,1999,2,262.89
NJ,1999,3,269.46
NJ,1999,4,272.26
NJ,2000,1,279.31
NJ,2000,2,286.15
NJ,2000,3,294.52
NJ,2000,4,299.03
NJ,2001,1,305.77
NJ,2001,2,314.37
NJ,2001,3,323.53
NJ,2001,4,329.93
NJ,2002,1,339.50
NJ,2002,2,352.13
NJ,2002,3,363.79
NJ,2002,4,372.20
NJ,2003,1,379.10
NJ,2003,2,385.71
NJ,2003,3,397.39
NJ,2003,4,417.53
NJ,2004,1,426.11
NJ,2004,2,439.59
NJ,2004,3,469.02
NJ,2004,4,480.97
NJ,2005,1,495.25
NJ,2005,2,516.77
NJ,2005,3,536.58
NJ,2005,4,552.75
NJ,2006,1,563.38
NJ,2006,2,569.87
NJ,2006,3,573.17
NJ,2006,4,576.24
NJ,2007,1,576.77
NJ,2007,2,573.31
NJ,2007,3,566.48
NJ,2007,4,563.83
NJ,2008,1,560.29
NJ,2008,2,544.45
NJ,2008,3,528.86
NJ,2008,4,523.37
NJ,2009,1,521.88
NJ,2009,2,505.14
NJ,2009,3,491.91
NJ,2009,4,488.40
NJ,2010,1,485.46
NJ,2010,2,482.15
NJ,2010,3,485.15
NJ,2010,4,484.29
NJ,2011,1,472.81
NJ,2011,2,463.28
NJ,2011,3,462.04
NJ,2011,4,462.27
NJ,2012,1,455.85
NJ,2012,2,449.88
NJ,2012,3,452.33
NJ,2012,4,453.18
NJ,2013,1,453.45
NJ,2013,2,454.09
NJ,2013,3,455.05
NJ,2013,4,456.88
NJ,2014,1,459.95
NJ,2014,2,464.80
NJ,2014,3,468.90
NJ,2014,4,471.19
NJ,2015,1,474.58
NJ,2015,2,478.52
NJ,2015,3,480.93
NJ,2015,4,482.86
NJ,2016,1,485.85
NJ,2016,2,491.45
NJ,2016,3,495.65
NJ,2016,4,499.70
NJ,2017,1,497.07
NJ,2017,2,506.23
NJ,2017,3,512.41
NJ,2017,4,516.92
NM,1975,1,56.23
NM,1975,2,58.90
NM,1975,3,59.27
NM,1975,4,55.70
NM,1976,1,59.68
NM,1976,2,61.93
NM,1976,3,63.72
NM,1976,4,65.56
NM,1977,1,70.10
NM,1977,2,69.88
NM,1977,3,73.17
NM,1977,4,75.46
NM,1978,1,76.44
NM,1978,2,78.00
NM,1978,3,81.07
NM,1978,4,83.89
NM,1979,1,89.05
NM,1979,2,91.59
NM,1979,3,93.70
NM,1979,4,95.57
NM,1980,1,100.00
NM,1980,2,97.63
NM,1980,3,98.79
NM,1980,4,104.86
NM,1981,1,101.35
NM,1981,2,111.73
NM,1981,3,114.27
NM,1981,4,118.13
NM,1982,1,121.42
NM,1982,2,125.18
NM,1982,3,130.19
NM,1982,4,124.19
NM,1983,1,130.56
NM,1983,2,122.54
NM,1983,3,123.50
NM,1983,4,125.85
NM,1984,1,124.65
NM,1984,2,121.85
NM,1984,3,126.17
NM,1984,4,127.53
NM,1985,1,126.02
NM,1985,2,126.38
NM,1985,3,128.21
NM,1985,4,128.35
NM,1986,1,130.26
NM,1986,2,132.73
NM,1986,3,132.11
NM,1986,4,132.94
NM,1987,1,134.70
NM,1987,2,133.66
NM,1987,3,132.10
NM,1987,4,130.82
NM,1988,1,130.78
NM,1988,2,130.16
NM,1988,3,131.38
NM,1988,4,129.68
NM,1989,1,130.55
NM,1989,2,131.00
NM,1989,3,133.20
NM,1989,4,135.18
NM,1990,1,132.58
NM,1990,2,133.24
NM,1990,3,134.57
NM,1990,4,135.00
NM,1991,1,135.85
NM,1991,2,137.38
NM,1991,3,138.13
NM,1991,4,140.23
NM,1992,1,143.85
NM,1992,2,144.68
NM,1992,3,145.55
NM,1992,4,147.82
NM,1993,1,149.59
NM,1993,2,153.33
NM,1993,3,156.23
NM,1993,4,159.05
NM,1994,1,164.20
NM,1994,2,169.23
NM,1994,3,172.84
NM,1994,4,175.40
NM,1995,1,176.54
NM,1995,2,181.09
NM,1995,3,184.53
NM,1995,4,185.76
NM,1996,1,187.13
NM,1996,2,186.66
NM,1996,3,186.18
NM,1996,4,187.37
NM,1997,1,188.48
NM,1997,2,189.63
NM,1997,3,190.68
NM,1997,4,192.54
NM,1998,1,193.72
NM,1998,2,193.72
NM,1998,3,195.29
NM,1998,4,197.27
NM,1999,1,197.57
NM,1999,2,197.23
NM,1999,3,196.74
NM,1999,4,197.75
NM,2000,1,197.98
NM,2000,2,198.68
NM,2000,3,199.99
NM,2000,4,201.17
NM,2001,1,205.93
NM,2001,2,207.46
NM,2001,3,208.78
NM,2001,4,210.31
NM,2002,1,211.33
NM,2002,2,214.27
NM,2002,3,217.56
NM,2002,4,219.44
NM,2003,1,222.15
NM,2003,2,224.72
NM,2003,3,227.36
NM,2003,4,232.31
NM,2004,1,234.75
NM,2004,2,240.00
NM,2004,3,246.17
NM,2004,4,251.21
NM,2005,1,256.36
NM,2005,2,267.65
NM,2005,3,277.97
NM,2005,4,286.19
NM,2006,1,294.49
NM,2006,2,305.26
NM,2006,3,312.93
NM,2006,4,319.90
NM,2007,1,325.12
NM,2007,2,327.51
NM,2007,3,328.51
NM,2007,4,329.56
NM,2008,1,330.89
NM,2008,2,326.52
NM,2008,3,318.78
NM,2008,4,317.92
NM,2009,1,320.62
NM,2009,2,311.94
NM,2009,3,305.56
NM,2009,4,302.70
NM,2010,1,302.27
NM,2010,2,297.27
NM,2010,3,298.81
NM,2010,4,296.13
NM,2011,1,288.16
NM,2011,2,282.60
NM,2011,3,284.16
NM,2011,4,285.06
NM,2012,1,280.47
NM,2012,2,278.26
NM,2012,3,280.22
NM,2012,4,281.07
NM,2013,1,282.48
NM,2013,2,282.27
NM,2013,3,281.81
NM,2013,4,283.52
NM,2014,1,282.59
NM,2014,2,284.01
NM,2014,3,286.94
NM,2014,4,287.93
NM,2015,1,288.41
NM,2015,2,290.38
NM,2015,3,294.10
NM,2015,4,293.32
NM,2016,1,295.33
NM,2016,2,299.43
NM,2016,3,302.10
NM,2016,4,306.34
NM,2017,1,307.43
NM,2017,2,310.39
NM,2017,3,317.21
NM,2017,4,317.77
NV,1975,1,47.82
NV,1975,2,58.37
NV,1975,3,58.34
NV,1975,4,56.42
NV,1976,1,59.64
NV,1976,2,55.44
NV,1976,3,60.49
NV,1976,4,61.72
NV,1977,1,62.72
NV,1977,2,65.00
NV,1977,3,69.42
NV,1977,4,73.50
NV,1978,1,75.37
NV,1978,2,80.72
NV,1978,3,85.01
NV,1978,4,88.33
NV,1979,1,92.89
NV,1979,2,97.55
NV,1979,3,100.10
NV,1979,4,98.54
NV,1980,1,100.00
NV,1980,2,101.86
NV,1980,3,104.14
NV,1980,4,105.26
NV,1981,1,108.11
NV,1981,2,117.40
NV,1981,3,117.99
NV,1981,4,111.71
NV,1982,1,119.31
NV,1982,2,119.80
NV,1982,3,119.77
NV,1982,4,122.48
NV,1983,1,119.17
NV,1983,2,117.26
NV,1983,3,120.29
NV,1983,4,114.46
NV,1984,1,118.89
NV,1984,2,117.67
NV,1984,3,112.95
NV,1984,4,117.19
NV,1985,1,117.21
NV,1985,2,117.39
NV,1985,3,118.53
NV,1985,4,118.41
NV,1986,1,120.79
NV,1986,2,123.87
NV,1986,3,123.94
NV,1986,4,123.86
NV,1987,1,126.28
NV,1987,2,125.61
NV,1987,3,124.79
NV,1987,4,124.18
NV,1988,1,125.20
NV,1988,2,126.47
NV,1988,3,128.33
NV,1988,4,129.32
NV,1989,1,130.02
NV,1989,2,132.05
NV,1989,3,135.41
NV,1989,4,137.23
NV,1990,1,139.95
NV,1990,2,141.83
NV,1990,3,145.63
NV,1990,4,147.26
NV,1991,1,150.45
NV,1991,2,151.61
NV,1991,3,152.31
NV,1991,4,155.61
NV,1992,1,156.99
NV,1992,2,156.40
NV,1992,3,159.35
NV,1992,4,160.27
NV,1993,1,160.09
NV,1993,2,161.47
NV,1993,3,162.80
NV,1993,4,163.80
NV,1994,1,163.94
NV,1994,2,164.65
NV,1994,3,165.46
NV,1994,4,165.00
NV,1995,1,166.10
NV,1995,2,169.58
NV,1995,3,172.15
NV,1995,4,173.69
NV,1996,1,175.54
NV,1996,2,174.88
NV,1996,3,174.80
NV,1996,4,176.63
NV,1997,1,177.71
NV,1997,2,177.74
NV,1997,3,180.67
NV,1997,4,181.54
NV,1998,1,183.62
NV,1998,2,184.28
NV,1998,3,185.14
NV,1998,4,186.31
NV,1999,1,186.76
NV,1999,2,186.30
NV,1999,3,187.50
NV,1999,4,187.68
NV,2000,1,189.33
NV,2000,2,191.78
NV,2000,3,193.52
NV,2000,4,196.46
NV,2001,1,200.77
NV,2001,2,203.31
NV,2001,3,207.12
NV,2001,4,209.74
NV,2002,1,212.75
NV,2002,2,216.27
NV,2002,3,220.97
NV,2002,4,223.45
NV,2003,1,227.43
NV,2003,2,231.97
NV,2003,3,238.64
NV,2003,4,253.02
NV,2004,1,266.26
NV,2004,2,290.46
NV,2004,3,327.42
NV,2004,4,339.55
NV,2005,1,353.44
NV,2005,2,372.32
NV,2005,3,385.24
NV,2005,4,399.76
NV,2006,1,408.74
NV,2006,2,409.05
NV,2006,3,410.51
NV,2006,4,409.13
NV,2007,1,406.72
NV,2007,2,397.36
NV,2007,3,384.32
NV,2007,4,374.23
NV,2008,1,352.91
NV,2008,2,325.36
NV,2008,3,292.67
NV,2008,4,277.51
NV,2009,1,276.15
NV,2009,2,255.85
NV,2009,3,238.32
NV,2009,4,231.62
NV,2010,1,222.62
NV,2010,2,214.73
NV,2010,3,215.52
NV,2010,4,210.08
NV,2011,1,198.08
NV,2011,2,185.22
NV,2011,3,184.65
NV,2011,4,184.25
NV,2012,1,182.14
NV,2012,2,181.48
NV,2012,3,185.87
NV,2012,4,191.12
NV,2013,1,196.89
NV,2013,2,209.51
NV,2013,3,223.09
NV,2013,4,232.80
NV,2014,1,238.68
NV,2014,2,246.31
NV,2014,3,255.29
NV,2014,4,258.63
NV,2015,1,264.17
NV,2015,2,273.06
NV,2015,3,281.98
NV,2015,4,288.44
NV,2016,1,291.39
NV,2016,2,299.21
NV,2016,3,308.58
NV,2016,4,311.43
NV,2017,1,317.71
NV,2017,2,328.13
NV,2017,3,338.94
NV,2017,4,347.94
NY,1975,1,78.63
NY,1975,2,75.92
NY,1975,3,77.84
NY,1975,4,80.39
NY,1976,1,73.71
NY,1976,2,74.82
NY,1976,3,75.84
NY,1976,4,74.45
NY,1977,1,77.97
NY,1977,2,83.46
NY,1977,3,82.56
NY,1977,4,84.87
NY,1978,1,83.52
NY,1978,2,87.87
NY,1978,3,84.06
NY,1978,4,84.36
NY,1979,1,96.37
NY,1979,2,96.02
NY,1979,3,94.92
NY,1979,4,98.44
NY,1980,1,100.00
NY,1980,2,107.38
NY,1980,3,114.92
NY,1980,4,111.64
NY,1981,1,112.62
NY,1981,2,108.99
NY,1981,3,116.32
NY,1981,4,115.61
NY,1982,1,129.96
NY,1982,2,133.98
NY,1982,3,125.22
NY,1982,4,129.23
NY,1983,1,129.39
NY,1983,2,133.20
NY,1983,3,138.73
NY,1983,4,147.51
NY,1984,1,151.25
NY,1984,2,156.99
NY,1984,3,162.63
NY,1984,4,169.82
NY,1985,1,176.76
NY,1985,2,185.09
NY,1985,3,192.18
NY,1985,4,199.60
NY,1986,1,207.79
NY,1986,2,217.80
NY,1986,3,227.74
NY,1986,4,237.91
NY,1987,1,247.28
NY,1987,2,255.90
NY,1987,3,267.78
NY,1987,4,271.62
NY,1988,1,278.15
NY,1988,2,281.49
NY,1988,3,283.45
NY,1988,4,284.31
NY,1989,1,284.11
NY,1989,2,283.61
NY,1989,3,286.53
NY,1989,4,287.34
NY,1990,1,287.36
NY,1990,2,284.00
NY,1990,3,282.43
NY,1990,4,279.34
NY,1991,1,279.02
NY,1991,2,280.82
NY,1991,3,280.01
NY,1991,4,282.18
NY,1992,1,287.42
NY,1992,2,283.55
NY,1992,3,286.65
NY,1992,4,288.66
NY,1993,1,283.47
NY,1993,2,290.01
NY,1993,3,289.10
NY,1993,4,290.25
NY,1994,1,286.99
NY,1994,2,283.20
NY,1994,3,281.67
NY,1994,4,276.49
NY,1995,1,275.26
NY,1995,2,279.88
NY,1995,3,284.47
NY,1995,4,283.71
NY,1996,1,288.51
NY,1996,2,286.70
NY,1996,3,284.72
NY,1996,4,284.63
NY,1997,1,284.47
NY,1997,2,288.03
NY,1997,3,290.46
NY,1997,4,293.34
NY,1998,1,300.00
NY,1998,2,302.37
NY,1998,3,304.67
NY,1998,4,308.66
NY,1999,1,311.04
NY,1999,2,317.00
NY,1999,3,325.80
NY,1999,4,331.73
NY,2000,1,336.54
NY,2000,2,346.69
NY,2000,3,356.79
NY,2000,4,362.24
NY,2001,1,370.45
NY,2001,2,378.69
NY,2001,3,388.86
NY,2001,4,395.65
NY,2002,1,405.42
NY,2002,2,418.05
NY,2002,3,430.74
NY,2002,4,440.05
NY,2003,1,449.92
NY,2003,2,460.59
NY,2003,3,467.22
NY,2003,4,489.28
NY,2004,1,499.03
NY,2004,2,512.69
NY,2004,3,538.95
NY,2004,4,552.38
NY,2005,1,567.46
NY,2005,2,586.26
NY,2005,3,606.06
NY,2005,4,619.97
NY,2006,1,630.82
NY,2006,2,632.84
NY,2006,3,632.28
